,date,channel,segment,device,region,response
0,2024-05-18,Email,New,Mobile,Gwangju,Yes
1,2024-06-08,Push,Returning,Mobile,Incheon,No
2,2024-04-26,SMS,Returning,Mobile,Incheon,No
3,2024-07-28,Email,New,Mobile,Daejeon,No
4,2024-06-07,SMS,New,Mobile,Daejeon,No
5,2024-06-23,Ads,Returning,Mobile,Seoul,Yes
6,2024-04-24,Push,Returning,Mobile,Incheon,Yes
7,2024-07-13,SMS,Returning,Mobile,Seoul,No
8,2024-07-02,Push,Returning,Desktop,Seoul,No
9,2024-05-28,Ads,New,Mobile,Incheon,No
10,2024-04-15,Email,Returning,Mobile,Busan,No
11,2024-04-24,Ads,New,Mobile,Daejeon,Yes
12,2024-06-12,Email,Returning,Mobile,Seoul,Yes
13,2024-06-29,Search,New,Mobile,Daejeon,No
14,2024-07-20,Ads,New,Desktop,Daegu,Yes
15,2024-05-13,Push,New,Mobile,Seoul,No
16,2024-06-30,Push,Returning,Mobile,Seoul,No
17,2024-04-09,Ads,Returning,Mobile,Incheon,Yes
18,2024-05-10,Ads,New,Mobile,Daegu,No
19,2024-07-12,Push,New,Mobile,Busan,No
20,2024-06-08,Push,Returning,Mobile,Seoul,No
21,2024-05-19,Push,New,Mobile,Daegu,No
22,2024-04-08,Email,New,Desktop,Incheon,Yes
23,2024-05-15,Ads,New,Mobile,Incheon,No
24,2024-04-01,Ads,New,Desktop,Busan,No
25,2024-06-15,SMS,Returning,Mobile,Seoul,No
26,2024-05-26,Search,New,Mobile,Daegu,Yes
27,2024-04-07,Ads,New,Mobile,Busan,Yes
28,2024-04-20,Search,New,Desktop,Daegu,No
29,2024-05-31,Search,New,Desktop,Busan,No
30,2024-05-15,Push,New,Mobile,Seoul,Yes
31,2024-06-03,Push,Returning,Mobile,Seoul,No
32,2024-06-09,Search,Returning,Desktop,Seoul,Yes
33,2024-05-27,SMS,New,Desktop,Seoul,No
34,2024-04-25,Ads,New,Desktop,Seoul,Yes
35,2024-05-26,Push,New,Desktop,Daegu,No
36,2024-05-24,Email,New,Desktop,Busan,No
37,2024-07-22,Search,New,Desktop,Busan,Yes
38,2024-06-01,Push,Returning,Mobile,Busan,No
39,2024-06-04,Push,New,Mobile,Incheon,No
40,2024-05-05,SMS,Returning,Mobile,Busan,No
41,2024-05-27,Ads,Returning,Desktop,Gwangju,No
42,2024-06-13,Email,Returning,Mobile,Daejeon,Yes
43,2024-06-18,Search,New,Desktop,Seoul,No
44,2024-05-09,Push,Returning,Mobile,Daejeon,Yes
45,2024-04-05,Push,Returning,Mobile,Busan,No
46,2024-07-20,SMS,New,Desktop,Gwangju,No
47,2024-04-10,Search,New,Mobile,Incheon,No
48,2024-06-27,Push,Returning,Desktop,Seoul,Yes
49,2024-07-09,Search,New,Desktop,Seoul,Yes
50,2024-06-07,SMS,Returning,Mobile,Seoul,Yes
51,2024-06-12,Search,New,Mobile,Daejeon,No
52,2024-06-23,Ads,New,Mobile,Busan,No
53,2024-05-19,Email,New,Mobile,Seoul,No
54,2024-04-02,Email,Returning,Mobile,Busan,No
55,2024-06-04,Ads,Returning,Mobile,Seoul,Yes
56,2024-04-17,Search,Returning,Mobile,Seoul,No
57,2024-07-28,Email,New,Mobile,Seoul,No
58,2024-05-02,SMS,Returning,Desktop,Seoul,No
59,2024-07-03,Email,Returning,Mobile,Seoul,No
60,2024-05-15,Push,Returning,Desktop,Busan,Yes
61,2024-07-02,SMS,Returning,Desktop,Daegu,No
62,2024-06-11,Search,New,Mobile,Gwangju,No
63,2024-04-24,Email,Returning,Desktop,Incheon,No
64,2024-04-11,Push,Returning,Desktop,Seoul,No
65,2024-07-15,Search,New,Desktop,Incheon,Yes
66,2024-05-06,Search,New,Mobile,Seoul,Yes
67,2024-06-04,Email,New,Mobile,Seoul,No
68,2024-06-01,Search,New,Mobile,Incheon,Yes
69,2024-04-08,Search,Returning,Mobile,Daejeon,No
70,2024-04-24,Push,New,Desktop,Seoul,No
71,2024-07-02,Ads,New,Mobile,Seoul,Yes
72,2024-07-29,Ads,New,Mobile,Seoul,No
73,2024-07-06,Ads,New,Desktop,Busan,No
74,2024-04-22,SMS,New,Mobile,Gwangju,Yes
75,2024-07-10,Push,New,Mobile,Busan,Yes
76,2024-05-06,SMS,Returning,Mobile,Seoul,No
77,2024-07-07,Ads,Returning,Desktop,Seoul,No
78,2024-06-07,Email,Returning,Mobile,Incheon,No
79,2024-07-01,Push,New,Mobile,Gwangju,No
80,2024-07-07,Email,New,Desktop,Seoul,No
81,2024-04-20,SMS,New,Mobile,Daejeon,No
82,2024-04-28,Email,Returning,Desktop,Daegu,No
83,2024-04-05,Search,Returning,Desktop,Busan,Yes
84,2024-04-20,Email,Returning,Mobile,Gwangju,No
85,2024-05-04,Ads,New,Mobile,Busan,Yes
86,2024-05-01,Email,Returning,Mobile,Seoul,No
87,2024-05-28,Push,New,Mobile,Seoul,No
88,2024-07-11,Push,Returning,Mobile,Seoul,No
89,2024-06-13,Email,Returning,Mobile,Busan,No
90,2024-07-03,Push,New,Desktop,Incheon,No
91,2024-06-21,Search,Returning,Desktop,Seoul,Yes
92,2024-05-02,Ads,New,Mobile,Seoul,No
93,2024-04-03,Search,Returning,Mobile,Gwangju,No
94,2024-06-23,Ads,New,Mobile,Daegu,No
95,2024-05-21,Ads,New,Mobile,Seoul,No
96,2024-04-19,Search,New,Desktop,Daejeon,No
97,2024-04-22,Search,Returning,Mobile,Gwangju,No
98,2024-07-29,Search,New,Desktop,Seoul,Yes
99,2024-06-07,Email,New,Mobile,Busan,No
100,2024-06-15,SMS,Returning,Desktop,Gwangju,No
101,2024-05-29,SMS,New,Mobile,Seoul,Yes
102,2024-05-18,Search,New,Mobile,Seoul,Yes
103,2024-04-17,Search,Returning,Desktop,Seoul,No
104,2024-04-13,Search,Returning,Mobile,Busan,No
105,2024-07-03,SMS,New,Mobile,Daejeon,No
106,2024-07-17,Email,Returning,Mobile,Gwangju,No
107,2024-07-15,Ads,Returning,Mobile,Seoul,No
108,2024-04-10,SMS,Returning,Desktop,Gwangju,No
109,2024-06-16,Search,Returning,Mobile,Seoul,Yes
110,2024-06-07,Push,New,Mobile,Daejeon,No
111,2024-07-20,Push,Returning,Mobile,Daegu,Yes
112,2024-04-15,SMS,New,Mobile,Seoul,No
113,2024-04-21,Ads,Returning,Desktop,Seoul,No
114,2024-05-24,SMS,Returning,Mobile,Seoul,No
115,2024-04-16,SMS,New,Mobile,Daejeon,No
116,2024-05-30,Ads,Returning,Desktop,Seoul,No
117,2024-05-06,SMS,New,Desktop,Busan,Yes
118,2024-05-19,SMS,New,Desktop,Incheon,No
119,2024-04-05,Email,Returning,Mobile,Gwangju,No
120,2024-05-14,Search,New,Desktop,Seoul,No
121,2024-06-12,Push,New,Desktop,Seoul,No
122,2024-06-30,Ads,New,Mobile,Busan,No
123,2024-05-25,SMS,New,Mobile,Gwangju,No
124,2024-05-14,Ads,Returning,Mobile,Gwangju,Yes
125,2024-07-21,Email,New,Mobile,Seoul,No
126,2024-06-27,SMS,Returning,Mobile,Busan,No
127,2024-06-17,Push,Returning,Mobile,Incheon,No
128,2024-05-21,Search,New,Mobile,Seoul,No
129,2024-05-10,Push,Returning,Mobile,Seoul,No
130,2024-04-04,SMS,New,Mobile,Seoul,No
131,2024-04-30,Search,New,Mobile,Daegu,No
132,2024-04-13,Push,New,Mobile,Seoul,No
133,2024-06-16,Search,New,Desktop,Gwangju,No
134,2024-06-19,Email,New,Mobile,Busan,No
135,2024-04-30,Search,New,Desktop,Incheon,No
136,2024-04-09,Ads,Returning,Mobile,Busan,Yes
137,2024-05-25,SMS,New,Mobile,Seoul,No
138,2024-05-09,Search,New,Mobile,Seoul,Yes
139,2024-07-27,Email,Returning,Desktop,Daegu,No
140,2024-06-10,SMS,Returning,Desktop,Daejeon,No
141,2024-04-22,Email,Returning,Desktop,Seoul,No
142,2024-05-15,Search,Returning,Mobile,Daegu,Yes
143,2024-07-01,Search,New,Desktop,Seoul,No
144,2024-04-08,Email,New,Mobile,Busan,No
145,2024-06-21,Ads,Returning,Mobile,Seoul,No
146,2024-07-16,SMS,Returning,Desktop,Seoul,Yes
147,2024-07-21,SMS,Returning,Desktop,Busan,Yes
148,2024-06-09,Ads,New,Desktop,Busan,No
149,2024-07-10,Ads,Returning,Mobile,Incheon,Yes
150,2024-05-23,SMS,New,Desktop,Busan,No
151,2024-07-15,Email,New,Mobile,Gwangju,No
152,2024-05-12,SMS,Returning,Mobile,Seoul,No
153,2024-04-30,SMS,New,Desktop,Incheon,No
154,2024-04-27,Push,Returning,Mobile,Seoul,No
155,2024-06-04,Ads,Returning,Mobile,Seoul,No
156,2024-06-02,Search,New,Mobile,Gwangju,No
157,2024-06-26,Ads,Returning,Mobile,Incheon,Yes
158,2024-07-08,Ads,New,Mobile,Seoul,No
159,2024-04-13,SMS,New,Desktop,Seoul,Yes
160,2024-04-07,Ads,Returning,Mobile,Gwangju,No
161,2024-07-14,Email,New,Desktop,Seoul,Yes
162,2024-05-05,Push,New,Mobile,Daegu,No
163,2024-05-30,Search,Returning,Mobile,Incheon,Yes
164,2024-07-16,Email,New,Desktop,Seoul,No
165,2024-07-20,Ads,Returning,Desktop,Seoul,No
166,2024-07-26,Email,Returning,Mobile,Gwangju,No
167,2024-07-23,Email,New,Mobile,Seoul,No
168,2024-07-03,Ads,New,Mobile,Busan,Yes
169,2024-07-12,Search,New,Desktop,Seoul,No
170,2024-07-16,Ads,Returning,Mobile,Gwangju,No
171,2024-04-18,Email,Returning,Mobile,Seoul,No
172,2024-04-06,Ads,Returning,Mobile,Seoul,No
173,2024-06-19,Search,New,Mobile,Seoul,No
174,2024-05-20,Ads,Returning,Desktop,Daegu,No
175,2024-05-25,Ads,Returning,Desktop,Daejeon,No
176,2024-06-16,Search,Returning,Mobile,Gwangju,No
177,2024-07-15,SMS,Returning,Desktop,Seoul,No
178,2024-07-14,Email,Returning,Desktop,Seoul,No
179,2024-07-02,SMS,New,Desktop,Incheon,No
180,2024-05-25,Search,New,Desktop,Seoul,Yes
181,2024-05-18,Search,New,Desktop,Daegu,Yes
182,2024-05-08,Email,New,Mobile,Daegu,No
183,2024-06-13,Email,New,Mobile,Daegu,No
184,2024-06-27,Push,New,Desktop,Busan,Yes
185,2024-04-22,SMS,New,Mobile,Seoul,No
186,2024-04-05,Search,New,Mobile,Incheon,Yes
187,2024-07-01,Push,New,Desktop,Seoul,No
188,2024-06-16,Ads,Returning,Mobile,Seoul,Yes
189,2024-07-15,Push,New,Mobile,Busan,No
190,2024-06-15,Push,Returning,Mobile,Seoul,No
191,2024-04-07,Email,New,Desktop,Seoul,No
192,2024-07-07,Email,New,Mobile,Seoul,Yes
193,2024-06-25,Ads,Returning,Mobile,Seoul,No
194,2024-06-25,Ads,New,Mobile,Seoul,Yes
195,2024-05-01,Ads,Returning,Desktop,Busan,No
196,2024-07-17,Email,New,Desktop,Seoul,No
197,2024-07-02,Ads,Returning,Mobile,Incheon,No
198,2024-05-27,Push,New,Desktop,Busan,No
199,2024-05-22,SMS,New,Mobile,Seoul,No
200,2024-07-29,Email,Returning,Mobile,Seoul,Yes
201,2024-05-26,Email,New,Mobile,Incheon,Yes
202,2024-04-13,Email,Returning,Mobile,Gwangju,No
203,2024-06-16,Ads,New,Mobile,Seoul,Yes
204,2024-07-19,Push,New,Mobile,Daegu,Yes
205,2024-05-07,SMS,New,Mobile,Seoul,No
206,2024-06-11,Push,Returning,Desktop,Seoul,No
207,2024-06-25,Push,Returning,Mobile,Daejeon,No
208,2024-05-29,Push,Returning,Mobile,Seoul,No
209,2024-05-12,Push,Returning,Mobile,Gwangju,No
210,2024-07-12,Push,Returning,Mobile,Seoul,No
211,2024-04-16,Push,Returning,Mobile,Daegu,No
212,2024-05-14,Search,New,Desktop,Daegu,No
213,2024-05-30,SMS,New,Mobile,Daejeon,Yes
214,2024-06-22,Push,New,Mobile,Daegu,No
215,2024-06-03,Search,New,Mobile,Seoul,No
216,2024-04-29,Email,New,Desktop,Busan,Yes
217,2024-04-17,SMS,New,Mobile,Daegu,Yes
218,2024-04-06,SMS,Returning,Desktop,Seoul,No
219,2024-05-06,Push,New,Mobile,Daegu,No
220,2024-06-17,Push,New,Desktop,Incheon,Yes
221,2024-05-03,Search,New,Mobile,Seoul,No
222,2024-07-27,Push,New,Mobile,Seoul,No
223,2024-06-27,Push,Returning,Desktop,Gwangju,No
224,2024-07-05,Search,Returning,Mobile,Seoul,No
225,2024-05-04,Ads,Returning,Mobile,Daegu,No
226,2024-05-16,SMS,Returning,Mobile,Daegu,No
227,2024-05-11,Search,New,Mobile,Incheon,No
228,2024-07-26,SMS,New,Mobile,Daegu,No
229,2024-07-01,Search,Returning,Desktop,Incheon,No
230,2024-04-15,Ads,Returning,Desktop,Seoul,No
231,2024-05-16,Ads,New,Desktop,Seoul,No
232,2024-07-15,Search,New,Mobile,Gwangju,No
233,2024-05-13,Push,Returning,Mobile,Seoul,No
234,2024-07-06,SMS,New,Mobile,Seoul,No
235,2024-05-05,Push,Returning,Mobile,Daegu,No
236,2024-07-05,Search,Returning,Mobile,Gwangju,No
237,2024-07-22,Ads,Returning,Mobile,Seoul,No
238,2024-05-26,Email,New,Mobile,Incheon,Yes
239,2024-07-12,SMS,New,Mobile,Daegu,No
240,2024-04-19,Email,Returning,Mobile,Seoul,No
241,2024-04-10,Ads,Returning,Mobile,Seoul,No
242,2024-06-13,Ads,Returning,Mobile,Seoul,Yes
243,2024-04-14,Ads,Returning,Mobile,Gwangju,No
244,2024-06-25,Email,New,Desktop,Daejeon,No
245,2024-05-14,Ads,New,Mobile,Gwangju,No
246,2024-04-02,Email,Returning,Mobile,Daejeon,No
247,2024-05-02,Ads,Returning,Mobile,Incheon,No
248,2024-04-15,Search,New,Desktop,Incheon,No
249,2024-06-20,Email,New,Mobile,Busan,No
250,2024-05-19,Push,New,Desktop,Incheon,No
251,2024-04-26,Search,New,Mobile,Daegu,No
252,2024-07-23,SMS,New,Desktop,Incheon,No
253,2024-07-20,Ads,Returning,Mobile,Seoul,No
254,2024-05-04,SMS,Returning,Mobile,Daegu,No
255,2024-06-25,Push,New,Mobile,Seoul,Yes
256,2024-06-23,Search,Returning,Desktop,Incheon,No
257,2024-06-22,Email,New,Mobile,Incheon,No
258,2024-06-04,Push,New,Mobile,Seoul,No
259,2024-06-17,Email,Returning,Mobile,Daejeon,Yes
260,2024-05-29,Push,New,Desktop,Daegu,No
261,2024-04-11,Ads,New,Mobile,Gwangju,No
262,2024-05-23,Ads,Returning,Desktop,Seoul,No
263,2024-04-28,SMS,Returning,Mobile,Busan,No
264,2024-04-29,Ads,Returning,Desktop,Seoul,Yes
265,2024-04-09,Search,Returning,Mobile,Busan,No
266,2024-07-29,Search,Returning,Mobile,Seoul,No
267,2024-07-07,SMS,Returning,Mobile,Daejeon,No
268,2024-07-10,Ads,Returning,Desktop,Gwangju,No
269,2024-06-29,SMS,Returning,Desktop,Daejeon,Yes
270,2024-05-15,Email,Returning,Mobile,Daejeon,No
271,2024-05-22,Ads,New,Mobile,Incheon,Yes
272,2024-05-25,Email,New,Desktop,Daegu,No
273,2024-05-13,SMS,New,Mobile,Seoul,No
274,2024-07-02,Email,New,Mobile,Daegu,Yes
275,2024-04-08,Push,New,Mobile,Busan,No
276,2024-07-23,Email,New,Desktop,Seoul,No
277,2024-04-16,Push,New,Mobile,Daejeon,No
278,2024-04-01,SMS,New,Desktop,Daegu,No
279,2024-06-22,Ads,New,Mobile,Incheon,No
280,2024-07-13,Push,New,Mobile,Incheon,Yes
281,2024-07-18,Search,New,Mobile,Daegu,No
282,2024-05-19,SMS,New,Mobile,Seoul,No
283,2024-06-04,Push,Returning,Mobile,Daegu,Yes
284,2024-05-15,Email,New,Mobile,Daegu,No
285,2024-04-10,Ads,New,Mobile,Daejeon,Yes
286,2024-05-17,SMS,New,Mobile,Seoul,No
287,2024-05-27,Search,New,Mobile,Busan,No
288,2024-07-08,SMS,New,Mobile,Seoul,Yes
289,2024-05-19,Search,New,Desktop,Seoul,Yes
290,2024-05-14,Search,New,Mobile,Seoul,No
291,2024-04-06,Ads,New,Desktop,Seoul,No
292,2024-04-22,Push,Returning,Desktop,Seoul,No
293,2024-04-17,SMS,New,Mobile,Incheon,No
294,2024-07-15,Email,New,Desktop,Seoul,No
295,2024-04-12,Email,New,Desktop,Seoul,No
296,2024-07-16,Search,Returning,Mobile,Gwangju,No
297,2024-05-03,Push,New,Mobile,Incheon,Yes
298,2024-05-11,Push,New,Desktop,Busan,No
299,2024-05-07,Push,Returning,Mobile,Seoul,Yes
